0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
RTDB name,NDB Placeholder Ratio,Prefix Table,Altkey Number,rtdb overheader,TODO Log Impact,Mate Log Impact,Updated Times,Default(M),Counter(M),Default(G),Counter(G),SP285,SP286,SP287,SP288,SP289,SP2810,SP2811,SP2812,SP2813,SP2814,SP2815,SP2816,SP2817,SP2818,SP2819,SP311,SP312,SP173,NDB,SP179,NDB,SP183,NDB
SYDB,0.4,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,505,505,505,551,551,551,551,551,621,621,1510,846,2014,846,2014
UIRTDB,0.1,1,2,1.3,0,0,1,0,0,0,0,,,,,,,,,248,248,248,248,248,552,552,442,442,442,802,442,802,442,802
CDBRTDB,0,1,1,1.3,0,0,1,0,0,0,0,,,,,,,,,,50,50,50,50,50,50,50,50,50,154,50,154,50,154
NGCUPL,0,1,1,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,80,80,80,80,80,80,80,174,80,174,80,174
PMOUDB,0.2,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,132,132,132,210,210,210,210,462,372,768,372,768
GCURDB,0,1,1,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,102,102,102,102,102,102,102,222,102,222,102,222
AECIDB,0.1,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,,,204,204,204,330,330,672,526,1026,526,1026
EMSLDB,0,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,,,120,120,120,120,120,327,120,327,120,327
PMSL,0,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,,,120,120,120,120,120,327,120,327,120,327
ODCDB,0,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,103,103,242,103,242,103,242
SCAPDB,0.3,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,,,,,,606,606,606,606,606,1592,606,1592,606,1592
